tree,branch
DDQCDGJets/selection;1,lepton1_pfIsoId
DDQCDGJets/selection;1,n_jets
DDQCDGJets/selection;1,weight_central
DDQCDGJets/selection;1,dibjet_eta
DDQCDGJets/selection;1,dibjet_phi
DDQCDGJets/selection;1,diphoton_eta
DDQCDGJets/selection;1,diphoton_phi
DDQCDGJets/selection;1,lead_bjet_PNetB
DDQCDGJets/selection;1,sublead_bjet_PNetB
DDQCDGJets/selection;1,lead_bjet_PNetRegPtRawRes
DDQCDGJets/selection;1,sublead_bjet_PNetRegPtRawRes
DDQCDGJets/selection;1,pholead_PtOverM
DDQCDGJets/selection;1,phosublead_PtOverM
DDQCDGJets/selection;1,FirstJet_PtOverM
DDQCDGJets/selection;1,SecondJet_PtOverM
DDQCDGJets/selection;1,CosThetaStar_CS
DDQCDGJets/selection;1,CosThetaStar_jj
DDQCDGJets/selection;1,CosThetaStar_gg
DDQCDGJets/selection;1,DeltaR_jg_min
DDQCDGJets/selection;1,lead_pt_over_diphoton_mass
DDQCDGJets/selection;1,sublead_pt_over_diphoton_mass
DDQCDGJets/selection;1,lead_pt_over_dibjet_mass
DDQCDGJets/selection;1,sublead_pt_over_dibjet_mass
DDQCDGJets/selection;1,diphoton_bbgg_mass
DDQCDGJets/selection;1,dibjet_bbgg_mass
DDQCDGJets/selection;1,lead_pho_mvaID_WP90
DDQCDGJets/selection;1,lead_pho_mvaID_WP80
DDQCDGJets/selection;1,sublead_pho_mvaID_WP90
DDQCDGJets/selection;1,sublead_pho_mvaID_WP80
DDQCDGJets/selection;1,lead_pho_mvaID
DDQCDGJets/selection;1,sublead_pho_mvaID
DDQCDGJets/selection;1,max_gamma_MVA_ID
DDQCDGJets/selection;1,preselection
DDQCDGJets/selection;1,selection
DDQCDGJets/selection;1,srbbgg
DDQCDGJets/selection;1,srbbggMET
DDQCDGJets/selection;1,crbbantigg
DDQCDGJets/selection;1,crantibbgg
DDQCDGJets/selection;1,crantibbantigg
DDQCDGJets/selection;1,sideband
DDQCDGJets/selection;1,idmva_sideband
DDQCDGJets/selection;1,idmva_presel
DDQCDGJets/selection;1,DeltaR_j1g1
DDQCDGJets/selection;1,DeltaR_j2g1
DDQCDGJets/selection;1,DeltaR_j1g2
DDQCDGJets/selection;1,DeltaR_j2g2
DDQCDGJets/selection;1,signal
DDQCDGJets/selection;1,isdata
DDQCDGJets/selection;1,isdd
DDQCDGJets/selection;1,run
DDQCDGJets/selection;1,lumi
DDQCDGJets/selection;1,event
DDQCDGJets/selection;1,weight_preselection
DDQCDGJets/selection;1,weight_selection
DDQCDGJets/selection;1,weight_srbbgg
DDQCDGJets/selection;1,weight_srbbggMET
DDQCDGJets/selection;1,weight_crbbantigg
DDQCDGJets/selection;1,weight_crantibbgg
DDQCDGJets/selection;1,weight_crantibbantigg
DDQCDGJets/selection;1,weight_sideband
DDQCDGJets/selection;1,weight_idmva_sideband
DDQCDGJets/selection;1,weight_idmva_presel
DDQCDGJets/srbbgg;1,lead_pho_pt
DDQCDGJets/srbbgg;1,lead_pho_eta
DDQCDGJets/srbbgg;1,lead_pho_phi
DDQCDGJets/srbbgg;1,sublead_pho_pt
DDQCDGJets/srbbgg;1,sublead_pho_eta
DDQCDGJets/srbbgg;1,sublead_pho_phi
DDQCDGJets/srbbgg;1,lead_bjet_pt
DDQCDGJets/srbbgg;1,lead_bjet_eta
DDQCDGJets/srbbgg;1,lead_bjet_phi
DDQCDGJets/srbbgg;1,sublead_bjet_pt
DDQCDGJets/srbbgg;1,sublead_bjet_eta
DDQCDGJets/srbbgg;1,sublead_bjet_phi
DDQCDGJets/srbbgg;1,dibjet_mass
DDQCDGJets/srbbgg;1,diphoton_mass
DDQCDGJets/srbbgg;1,bbgg_mass
DDQCDGJets/srbbgg;1,dibjet_pt
DDQCDGJets/srbbgg;1,diphoton_pt
DDQCDGJets/srbbgg;1,bbgg_pt
DDQCDGJets/srbbgg;1,bbgg_eta
DDQCDGJets/srbbgg;1,bbgg_phi
DDQCDGJets/srbbgg;1,DeltaPhi_j1MET
DDQCDGJets/srbbgg;1,DeltaPhi_j2MET
DDQCDGJets/srbbgg;1,Res_chi_t0
DDQCDGJets/srbbgg;1,Res_chi_t1
DDQCDGJets/srbbgg;1,lepton1_mvaID
DDQCDGJets/srbbgg;1,lepton1_pt
DDQCDGJets/srbbgg;1,lepton1_pfIsoId
DDQCDGJets/srbbgg;1,n_jets
DDQCDGJets/srbbgg;1,weight_central
DDQCDGJets/srbbgg;1,dibjet_eta
DDQCDGJets/srbbgg;1,dibjet_phi
DDQCDGJets/srbbgg;1,diphoton_eta
DDQCDGJets/srbbgg;1,diphoton_phi
DDQCDGJets/srbbgg;1,lead_bjet_PNetB
DDQCDGJets/srbbgg;1,sublead_bjet_PNetB
DDQCDGJets/srbbgg;1,lead_bjet_PNetRegPtRawRes
DDQCDGJets/srbbgg;1,sublead_bjet_PNetRegPtRawRes
DDQCDGJets/srbbgg;1,pholead_PtOverM
DDQCDGJets/srbbgg;1,phosublead_PtOverM
DDQCDGJets/srbbgg;1,FirstJet_PtOverM
DDQCDGJets/srbbgg;1,SecondJet_PtOverM
DDQCDGJets/srbbgg;1,CosThetaStar_CS
DDQCDGJets/srbbgg;1,CosThetaStar_jj
DDQCDGJets/srbbgg;1,CosThetaStar_gg
DDQCDGJets/srbbgg;1,DeltaR_jg_min
DDQCDGJets/srbbgg;1,lead_pt_over_diphoton_mass
