category,value
Common columns (UP & DOWN),Res_DNNpair_sublead_bjet_btagPNetB
Common columns (UP & DOWN),Res_DNNpair_sublead_bjet_charge
Common columns (UP & DOWN),Res_DNNpair_sublead_bjet_eta
Common columns (UP & DOWN),Res_DNNpair_sublead_bjet_genFlav
Common columns (UP & DOWN),Res_DNNpair_sublead_bjet_genMatched
Common columns (UP & DOWN),Res_DNNpair_sublead_bjet_hFlav
Common columns (UP & DOWN),Res_DNNpair_sublead_bjet_jet_idx
Common columns (UP & DOWN),Res_DNNpair_sublead_bjet_mass
Common columns (UP & DOWN),Res_DNNpair_sublead_bjet_phi
Common columns (UP & DOWN),Res_DNNpair_sublead_bjet_pt
Common columns (UP & DOWN),Res_DNNpair_sublead_bjet_pt_orig
Common columns (UP & DOWN),Res_DNNpair_sublead_bjet_rawFactor
Common columns (UP & DOWN),Res_DeltaPhi_j1MET
Common columns (UP & DOWN),Res_DeltaPhi_j2MET
Common columns (UP & DOWN),Res_DeltaR_j1g1
Common columns (UP & DOWN),Res_DeltaR_j1g2
Common columns (UP & DOWN),Res_DeltaR_j2g1
Common columns (UP & DOWN),Res_DeltaR_j2g2
Common columns (UP & DOWN),Res_DeltaR_jg_min
Common columns (UP & DOWN),Res_FirstJet_PtOverM
Common columns (UP & DOWN),Res_HHbbggCandidate_eta
Common columns (UP & DOWN),Res_HHbbggCandidate_mass
Common columns (UP & DOWN),Res_HHbbggCandidate_phi
Common columns (UP & DOWN),Res_HHbbggCandidate_pt
Common columns (UP & DOWN),Res_Higgs_toGG_genMatched
Common columns (UP & DOWN),Res_Higgs_tobb_genMatched
Common columns (UP & DOWN),Res_MET_phiPNetCorr
Common columns (UP & DOWN),Res_MET_ptPNetCorr
Common columns (UP & DOWN),Res_M_X
Common columns (UP & DOWN),Res_SecondJet_PtOverM
Common columns (UP & DOWN),Res_chi_t0
Common columns (UP & DOWN),Res_chi_t1
Common columns (UP & DOWN),Res_dijet_charge
Common columns (UP & DOWN),Res_dijet_eta
Common columns (UP & DOWN),Res_dijet_mass
Common columns (UP & DOWN),Res_dijet_mass_DNNreg
Common columns (UP & DOWN),Res_dijet_phi
Common columns (UP & DOWN),Res_dijet_pt
Common columns (UP & DOWN),Res_has_atleast_one_fatjet
Common columns (UP & DOWN),Res_has_two_btagged_jets
Common columns (UP & DOWN),Res_lead_bjet_PNetRegPtRawCorr
Common columns (UP & DOWN),Res_lead_bjet_PNetRegPtRawCorrNeutrino
Common columns (UP & DOWN),Res_lead_bjet_PNetRegPtRawRes
Common columns (UP & DOWN),Res_lead_bjet_btagPNetB
Common columns (UP & DOWN),Res_lead_bjet_charge
Common columns (UP & DOWN),Res_lead_bjet_eta
Common columns (UP & DOWN),Res_lead_bjet_genFlav
Common columns (UP & DOWN),Res_lead_bjet_genMatched
