mX,mY,2022,2023,2024,combined
800,150,0.201319,0.18948,1.70785,2.09864
800,170,0.230332,0.19571,0.966588,1.39263
800,200,0.205751,0.177455,1.05945,1.44266
800,250,0.26517,0.183189,2.05068,2.49904
800,300,0.278868,0.190825,1.81721,2.2869
800,350,0.268855,0.205768,1.53307,2.00769
800,400,0.297921,0.23806,1.66416,2.20015
800,450,1.02546,0.574871,1.52902,3.12936
800,500,0.485916,0.716396,2.86039,4.0627
800,550,0.872772,0.59608,2.45482,3.92368
800,600,0.668345,0.504169,2.59213,3.76465
800,650,0.687437,0.0802804,8.11365,8.88137
850,90,0.219473,0.163357,0.986215,1.36904
850,95,0.250137,0.193261,0.897424,1.34082
850,100,0.203018,0.173183,0.940733,1.31693
850,125,0.21143,0.167804,0.938741,1.31797
850,150,0.224815,0.142815,1.01453,1.38216
850,170,0.21856,0.184201,1.02307,1.42583
850,200,0.246575,0.166213,0.977017,1.3898
850,250,0.206811,0.215203,1.04638,1.46839
850,300,0.230766,0.19498,1.64037,2.06612
850,350,0.231139,0.177382,1.47287,1.88139
850,400,1.01766,0.215439,1.70747,2.94056
850,450,0.271479,0.677661,1.68249,2.63163
850,500,0.298194,0.201481,1.61763,2.1173
850,550,0.474027,0.792873,3.74113,5.00803
850,600,0.463097,0.700407,2.83174,3.99525
850,650,0.833075,0.224651,2.99102,4.04874
850,700,0.611583,0.253617,8.50396,9.36915
900,90,0.217981,0.197794,0.91258,1.32835
900,95,0.18893,0.183392,0.897159,1.26948
900,100,0.254079,0.156173,0.913594,1.32385
900,125,0.69524,0.163357,0.848682,1.70728
900,150,0.230766,0.177,0.920889,1.32866
900,170,0.206241,0.179251,0.920889,1.30638
900,200,0.225886,0.193027,0.94478,1.36369
900,250,0.230154,0.17092,0.976384,1.37746
900,300,0.236249,0.215871,1.8155,2.26762
900,350,0.21722,0.207673,3.23921,3.66411
900,400,0.247996,0.205768,1.51947,1.97323
900,450,0.25222,0.224651,1.55809,2.03496
900,500,0.279985,0.669526,2.88846,3.83797
900,550,0.556607,0.585565,1.83229,2.97446
900,600,0.43733,0.592195,3.50936,4.53888
900,650,0.487851,0.509181,3.3973,4.39433
900,700,0.676,0.215203,4.06692,4.95812
950,90,0.220439,0.169672,0.970051,1.36016
950,95,0.217602,0.18965,0.903836,1.31109
950,100,0.224296,0.182226,0.809141,1.21566
