mX,mY,region,eff_Loose,eff_Medium,eff_Tight,missing_years
800,125,preselection,0.862470,0.663075,0.481054,
800,150,preselection,0.850082,0.649841,0.464226,
800,170,preselection,0.841293,0.636065,0.449306,
800,200,preselection,0.828794,0.617642,0.428457,
800,250,preselection,0.803593,0.580981,0.392818,
800,300,preselection,0.783297,0.552713,0.364328,
800,350,preselection,0.765491,0.531001,0.342998,
800,400,preselection,0.746542,0.507235,0.319270,
800,450,preselection,0.725633,0.483273,0.302618,
800,500,preselection,0.703694,0.465105,0.286379,
800,550,preselection,0.689055,0.448638,0.271743,
800,600,preselection,0.674368,0.434771,0.262570,
800,650,preselection,0.660797,0.425079,0.253500,
850,90,preselection,0.878114,0.690474,0.506356,
850,95,preselection,0.872343,0.681516,0.493462,
850,100,preselection,0.869094,0.675721,0.491390,
850,125,preselection,0.856684,0.656830,0.472115,
850,150,preselection,0.846392,0.642101,0.456775,
850,170,preselection,0.838711,0.630791,0.443293,
850,200,preselection,0.820220,0.602506,0.418859,
850,250,preselection,0.796298,0.571537,0.380701,
850,300,preselection,0.779574,0.546536,0.360534,
850,350,preselection,0.756498,0.520640,0.332965,
850,400,preselection,0.741029,0.501307,0.315563,
850,450,preselection,0.722359,0.478142,0.298468,
850,500,preselection,0.707591,0.463236,0.285551,
850,550,preselection,0.690137,0.442852,0.268865,
850,600,preselection,0.671225,0.425156,0.254365,
850,650,preselection,0.653542,0.413630,0.245315,
850,700,preselection,0.645780,0.405779,0.238823,
900,90,preselection,0.876084,0.689452,0.502000,
900,95,preselection,0.869142,0.677041,0.488570,
900,100,preselection,0.865394,0.671940,0.485596,
900,125,preselection,0.854116,0.651999,0.464404,
900,150,preselection,0.839246,0.634919,0.446322,
900,170,preselection,0.835158,0.624863,0.438320,
900,200,preselection,0.818600,0.601054,0.415711,
900,250,preselection,0.796489,0.568411,0.379660,
900,300,preselection,0.775765,0.541099,0.354629,
900,350,preselection,0.750920,0.513342,0.330057,
900,400,preselection,0.736726,0.493818,0.311649,
900,450,preselection,0.714866,0.471203,0.292235,
900,500,preselection,0.702265,0.457517,0.279267,
900,550,preselection,0.685190,0.441077,0.267677,
900,600,preselection,0.670040,0.426783,0.256153,
900,650,preselection,0.652594,0.408319,0.241561,
900,700,preselection,0.640053,0.402097,0.233326,
950,90,preselection,0.875404,0.685254,0.499382,
950,95,preselection,0.871254,0.677306,0.489660,
950,100,preselection,0.864938,0.669607,0.482428,
950,125,preselection,0.849147,0.646889,0.460255,
950,150,preselection,0.839949,0.628944,0.443539,
950,170,preselection,0.828532,0.616057,0.427340,
950,200,preselection,0.814471,0.595978,0.408785,
950,250,preselection,0.790983,0.561676,0.374127,
950,300,preselection,0.770114,0.533683,0.348367,
950,350,preselection,0.752650,0.509048,0.326742,
