mX,mY,status,n_res_columns,res_columns,file_path
300,50,HAS_RES_COLUMNS,139,Res_CosThetaStar_CS;Res_CosThetaStar_gg;Res_CosThetaStar_jj;Res_DNNpair_CosThetaStar_CS;Res_DNNpair_CosThetaStar_gg;Res_DNNpair_CosThetaStar_jj;Res_DNNpair_DeltaPhi_j1MET;Res_DNNpair_DeltaPhi_j2MET;Res_DNNpair_DeltaR_j1g1;Res_DNNpair_DeltaR_j1g2;Res_DNNpair_DeltaR_j2g1;Res_DNNpair_DeltaR_j2g2;Res_DNNpair_DeltaR_jg_min;Res_DNNpair_FirstJet_PtOverM;Res_DNNpair_HHbbggCandidate_eta;Res_DNNpair_HHbbggCandidate_mass;Res_DNNpair_HHbbggCandidate_phi;Res_DNNpair_HHbbggCandidate_pt;Res_DNNpair_Higgs_toGG_genMatched;Res_DNNpair_Higgs_tobb_genMatched;Res_DNNpair_MET_phiPNetCorr;Res_DNNpair_MET_ptPNetCorr;Res_DNNpair_M_X;Res_DNNpair_SecondJet_PtOverM;Res_DNNpair_chi_t0;Res_DNNpair_chi_t1;Res_DNNpair_dijet_DNNpair_Score;Res_DNNpair_dijet_charge;Res_DNNpair_dijet_eta;Res_DNNpair_dijet_mass;Res_DNNpair_dijet_mass_DNNreg;Res_DNNpair_dijet_phi;Res_DNNpair_dijet_pt;Res_DNNpair_has_atleast_one_fatjet;Res_DNNpair_has_two_btagged_jets;Res_DNNpair_lead_bjet_PNetRegPtRawCorr;Res_DNNpair_lead_bjet_PNetRegPtRawCorrNeutrino;Res_DNNpair_lead_bjet_PNetRegPtRawRes;Res_DNNpair_lead_bjet_btagPNetB;Res_DNNpair_lead_bjet_btagPNetCvL;Res_DNNpair_lead_bjet_charge;Res_DNNpair_lead_bjet_eta;Res_DNNpair_lead_bjet_genFlav;Res_DNNpair_lead_bjet_genMatched;Res_DNNpair_lead_bjet_genMotherPdgId;Res_DNNpair_lead_bjet_genPdgId;Res_DNNpair_lead_bjet_hFlav;Res_DNNpair_lead_bjet_jet_idx;Res_DNNpair_lead_bjet_mass;Res_DNNpair_lead_bjet_phi;Res_DNNpair_lead_bjet_pt;Res_DNNpair_lead_bjet_pt_orig;Res_DNNpair_lead_bjet_rawFactor;Res_DNNpair_pholead_PtOverM;Res_DNNpair_phosublead_PtOverM;Res_DNNpair_sublead_bjet_PNetRegPtRawCorr;Res_DNNpair_sublead_bjet_PNetRegPtRawCorrNeutrino;Res_DNNpair_sublead_bjet_PNetRegPtRawRes;Res_DNNpair_sublead_bjet_btagPNetB;Res_DNNpair_sublead_bjet_btagPNetCvL;Res_DNNpair_sublead_bjet_charge;Res_DNNpair_sublead_bjet_eta;Res_DNNpair_sublead_bjet_genFlav;Res_DNNpair_sublead_bjet_genMatched;Res_DNNpair_sublead_bjet_genMotherPdgId;Res_DNNpair_sublead_bjet_genPdgId;Res_DNNpair_sublead_bjet_hFlav;Res_DNNpair_sublead_bjet_jet_idx;Res_DNNpair_sublead_bjet_mass;Res_DNNpair_sublead_bjet_phi;Res_DNNpair_sublead_bjet_pt;Res_DNNpair_sublead_bjet_pt_orig;Res_DNNpair_sublead_bjet_rawFactor;Res_DeltaPhi_j1MET;Res_DeltaPhi_j2MET;Res_DeltaR_j1g1;Res_DeltaR_j1g2;Res_DeltaR_j2g1;Res_DeltaR_j2g2;Res_DeltaR_jg_min;Res_FirstJet_PtOverM;Res_HHbbggCandidate_eta;Res_HHbbggCandidate_mass;Res_HHbbggCandidate_phi;Res_HHbbggCandidate_pt;Res_Higgs_toGG_genMatched;Res_Higgs_tobb_genMatched;Res_MET_phiPNetCorr;Res_MET_ptPNetCorr;Res_M_X;Res_SecondJet_PtOverM;Res_chi_t0;Res_chi_t1;Res_dijet_charge;Res_dijet_eta;Res_dijet_mass;Res_dijet_mass_DNNreg;Res_dijet_phi;Res_dijet_pt;Res_has_atleast_one_fatjet;Res_has_two_btagged_jets;Res_lead_bjet_PNetRegPtRawCorr;Res_lead_bjet_PNetRegPtRawCorrNeutrino;Res_lead_bjet_PNetRegPtRawRes;Res_lead_bjet_btagPNetB;Res_lead_bjet_btagPNetCvL;Res_lead_bjet_charge;Res_lead_bjet_eta;Res_lead_bjet_genFlav;Res_lead_bjet_genMatched;Res_lead_bjet_genMotherPdgId;Res_lead_bjet_genPdgId;Res_lead_bjet_hFlav;Res_lead_bjet_jet_idx;Res_lead_bjet_mass;Res_lead_bjet_phi;Res_lead_bjet_pt;Res_lead_bjet_pt_orig;Res_lead_bjet_rawFactor;Res_pholead_PtOverM;Res_phosublead_PtOverM;Res_sublead_bjet_PNetRegPtRawCorr;Res_sublead_bjet_PNetRegPtRawCorrNeutrino;Res_sublead_bjet_PNetRegPtRawRes;Res_sublead_bjet_btagPNetB;Res_sublead_bjet_btagPNetCvL;Res_sublead_bjet_charge;Res_sublead_bjet_eta;Res_sublead_bjet_genFlav;Res_sublead_bjet_genMatched;Res_sublead_bjet_genMotherPdgId;Res_sublead_bjet_genPdgId;Res_sublead_bjet_hFlav;Res_sublead_bjet_jet_idx;Res_sublead_bjet_mass;Res_sublead_bjet_phi;Res_sublead_bjet_pt;Res_sublead_bjet_pt_orig;Res_sublead_bjet_rawFactor,/eos/cms/store/group/phys_b2g/HHbbgg/sraj/HiggsDNA_v7_dask_merged/2022/sim/postEE/merged/NMSSM_X300_Y50/nominal/NOTAG_merged.parquet
300,60,HAS_RES_COLUMNS,139,Res_CosThetaStar_CS;Res_CosThetaStar_gg;Res_CosThetaStar_jj;Res_DNNpair_CosThetaStar_CS;Res_DNNpair_CosThetaStar_gg;Res_DNNpair_CosThetaStar_jj;Res_DNNpair_DeltaPhi_j1MET;Res_DNNpair_DeltaPhi_j2MET;Res_DNNpair_DeltaR_j1g1;Res_DNNpair_DeltaR_j1g2;Res_DNNpair_DeltaR_j2g1;Res_DNNpair_DeltaR_j2g2;Res_DNNpair_DeltaR_jg_min;Res_DNNpair_FirstJet_PtOverM;Res_DNNpair_HHbbggCandidate_eta;Res_DNNpair_HHbbggCandidate_mass;Res_DNNpair_HHbbggCandidate_phi;Res_DNNpair_HHbbggCandidate_pt;Res_DNNpair_Higgs_toGG_genMatched;Res_DNNpair_Higgs_tobb_genMatched;Res_DNNpair_MET_phiPNetCorr;Res_DNNpair_MET_ptPNetCorr;Res_DNNpair_M_X;Res_DNNpair_SecondJet_PtOverM;Res_DNNpair_chi_t0;Res_DNNpair_chi_t1;Res_DNNpair_dijet_DNNpair_Score;Res_DNNpair_dijet_charge;Res_DNNpair_dijet_eta;Res_DNNpair_dijet_mass;Res_DNNpair_dijet_mass_DNNreg;Res_DNNpair_dijet_phi;Res_DNNpair_dijet_pt;Res_DNNpair_has_atleast_one_fatjet;Res_DNNpair_has_two_btagged_jets;Res_DNNpair_lead_bjet_PNetRegPtRawCorr;Res_DNNpair_lead_bjet_PNetRegPtRawCorrNeutrino;Res_DNNpair_lead_bjet_PNetRegPtRawRes;Res_DNNpair_lead_bjet_btagPNetB;Res_DNNpair_lead_bjet_btagPNetCvL;Res_DNNpair_lead_bjet_charge;Res_DNNpair_lead_bjet_eta;Res_DNNpair_lead_bjet_genFlav;Res_DNNpair_lead_bjet_genMatched;Res_DNNpair_lead_bjet_genMotherPdgId;Res_DNNpair_lead_bjet_genPdgId;Res_DNNpair_lead_bjet_hFlav;Res_DNNpair_lead_bjet_jet_idx;Res_DNNpair_lead_bjet_mass;Res_DNNpair_lead_bjet_phi;Res_DNNpair_lead_bjet_pt;Res_DNNpair_lead_bjet_pt_orig;Res_DNNpair_lead_bjet_rawFactor;Res_DNNpair_pholead_PtOverM;Res_DNNpair_phosublead_PtOverM;Res_DNNpair_sublead_bjet_PNetRegPtRawCorr;Res_DNNpair_sublead_bjet_PNetRegPtRawCorrNeutrino;Res_DNNpair_sublead_bjet_PNetRegPtRawRes;Res_DNNpair_sublead_bjet_btagPNetB;Res_DNNpair_sublead_bjet_btagPNetCvL;Res_DNNpair_sublead_bjet_charge;Res_DNNpair_sublead_bjet_eta;Res_DNNpair_sublead_bjet_genFlav;Res_DNNpair_sublead_bjet_genMatched;Res_DNNpair_sublead_bjet_genMotherPdgId;Res_DNNpair_sublead_bjet_genPdgId;Res_DNNpair_sublead_bjet_hFlav;Res_DNNpair_sublead_bjet_jet_idx;Res_DNNpair_sublead_bjet_mass;Res_DNNpair_sublead_bjet_phi;Res_DNNpair_sublead_bjet_pt;Res_DNNpair_sublead_bjet_pt_orig;Res_DNNpair_sublead_bjet_rawFactor;Res_DeltaPhi_j1MET;Res_DeltaPhi_j2MET;Res_DeltaR_j1g1;Res_DeltaR_j1g2;Res_DeltaR_j2g1;Res_DeltaR_j2g2;Res_DeltaR_jg_min;Res_FirstJet_PtOverM;Res_HHbbggCandidate_eta;Res_HHbbggCandidate_mass;Res_HHbbggCandidate_phi;Res_HHbbggCandidate_pt;Res_Higgs_toGG_genMatched;Res_Higgs_tobb_genMatched;Res_MET_phiPNetCorr;Res_MET_ptPNetCorr;Res_M_X;Res_SecondJet_PtOverM;Res_chi_t0;Res_chi_t1;Res_dijet_charge;Res_dijet_eta;Res_dijet_mass;Res_dijet_mass_DNNreg;Res_dijet_phi;Res_dijet_pt;Res_has_atleast_one_fatjet;Res_has_two_btagged_jets;Res_lead_bjet_PNetRegPtRawCorr;Res_lead_bjet_PNetRegPtRawCorrNeutrino;Res_lead_bjet_PNetRegPtRawRes;Res_lead_bjet_btagPNetB;Res_lead_bjet_btagPNetCvL;Res_lead_bjet_charge;Res_lead_bjet_eta;Res_lead_bjet_genFlav;Res_lead_bjet_genMatched;Res_lead_bjet_genMotherPdgId;Res_lead_bjet_genPdgId;Res_lead_bjet_hFlav;Res_lead_bjet_jet_idx;Res_lead_bjet_mass;Res_lead_bjet_phi;Res_lead_bjet_pt;Res_lead_bjet_pt_orig;Res_lead_bjet_rawFactor;Res_pholead_PtOverM;Res_phosublead_PtOverM;Res_sublead_bjet_PNetRegPtRawCorr;Res_sublead_bjet_PNetRegPtRawCorrNeutrino;Res_sublead_bjet_PNetRegPtRawRes;Res_sublead_bjet_btagPNetB;Res_sublead_bjet_btagPNetCvL;Res_sublead_bjet_charge;Res_sublead_bjet_eta;Res_sublead_bjet_genFlav;Res_sublead_bjet_genMatched;Res_sublead_bjet_genMotherPdgId;Res_sublead_bjet_genPdgId;Res_sublead_bjet_hFlav;Res_sublead_bjet_jet_idx;Res_sublead_bjet_mass;Res_sublead_bjet_phi;Res_sublead_bjet_pt;Res_sublead_bjet_pt_orig;Res_sublead_bjet_rawFactor,/eos/cms/store/group/phys_b2g/HHbbgg/sraj/HiggsDNA_v7_dask_merged/2022/sim/postEE/merged/NMSSM_X300_Y60/nominal/NOTAG_merged.parquet
300,70,HAS_RES_COLUMNS,139,Res_CosThetaStar_CS;Res_CosThetaStar_gg;Res_CosThetaStar_jj;Res_DNNpair_CosThetaStar_CS;Res_DNNpair_CosThetaStar_gg;Res_DNNpair_CosThetaStar_jj;Res_DNNpair_DeltaPhi_j1MET;Res_DNNpair_DeltaPhi_j2MET;Res_DNNpair_DeltaR_j1g1;Res_DNNpair_DeltaR_j1g2;Res_DNNpair_DeltaR_j2g1;Res_DNNpair_DeltaR_j2g2;Res_DNNpair_DeltaR_jg_min;Res_DNNpair_FirstJet_PtOverM;Res_DNNpair_HHbbggCandidate_eta;Res_DNNpair_HHbbggCandidate_mass;Res_DNNpair_HHbbggCandidate_phi;Res_DNNpair_HHbbggCandidate_pt;Res_DNNpair_Higgs_toGG_genMatched;Res_DNNpair_Higgs_tobb_genMatched;Res_DNNpair_MET_phiPNetCorr;Res_DNNpair_MET_ptPNetCorr;Res_DNNpair_M_X;Res_DNNpair_SecondJet_PtOverM;Res_DNNpair_chi_t0;Res_DNNpair_chi_t1;Res_DNNpair_dijet_DNNpair_Score;Res_DNNpair_dijet_charge;Res_DNNpair_dijet_eta;Res_DNNpair_dijet_mass;Res_DNNpair_dijet_mass_DNNreg;Res_DNNpair_dijet_phi;Res_DNNpair_dijet_pt;Res_DNNpair_has_atleast_one_fatjet;Res_DNNpair_has_two_btagged_jets;Res_DNNpair_lead_bjet_PNetRegPtRawCorr;Res_DNNpair_lead_bjet_PNetRegPtRawCorrNeutrino;Res_DNNpair_lead_bjet_PNetRegPtRawRes;Res_DNNpair_lead_bjet_btagPNetB;Res_DNNpair_lead_bjet_btagPNetCvL;Res_DNNpair_lead_bjet_charge;Res_DNNpair_lead_bjet_eta;Res_DNNpair_lead_bjet_genFlav;Res_DNNpair_lead_bjet_genMatched;Res_DNNpair_lead_bjet_genMotherPdgId;Res_DNNpair_lead_bjet_genPdgId;Res_DNNpair_lead_bjet_hFlav;Res_DNNpair_lead_bjet_jet_idx;Res_DNNpair_lead_bjet_mass;Res_DNNpair_lead_bjet_phi;Res_DNNpair_lead_bjet_pt;Res_DNNpair_lead_bjet_pt_orig;Res_DNNpair_lead_bjet_rawFactor;Res_DNNpair_pholead_PtOverM;Res_DNNpair_phosublead_PtOverM;Res_DNNpair_sublead_bjet_PNetRegPtRawCorr;Res_DNNpair_sublead_bjet_PNetRegPtRawCorrNeutrino;Res_DNNpair_sublead_bjet_PNetRegPtRawRes;Res_DNNpair_sublead_bjet_btagPNetB;Res_DNNpair_sublead_bjet_btagPNetCvL;Res_DNNpair_sublead_bjet_charge;Res_DNNpair_sublead_bjet_eta;Res_DNNpair_sublead_bjet_genFlav;Res_DNNpair_sublead_bjet_genMatched;Res_DNNpair_sublead_bjet_genMotherPdgId;Res_DNNpair_sublead_bjet_genPdgId;Res_DNNpair_sublead_bjet_hFlav;Res_DNNpair_sublead_bjet_jet_idx;Res_DNNpair_sublead_bjet_mass;Res_DNNpair_sublead_bjet_phi;Res_DNNpair_sublead_bjet_pt;Res_DNNpair_sublead_bjet_pt_orig;Res_DNNpair_sublead_bjet_rawFactor;Res_DeltaPhi_j1MET;Res_DeltaPhi_j2MET;Res_DeltaR_j1g1;Res_DeltaR_j1g2;Res_DeltaR_j2g1;Res_DeltaR_j2g2;Res_DeltaR_jg_min;Res_FirstJet_PtOverM;Res_HHbbggCandidate_eta;Res_HHbbggCandidate_mass;Res_HHbbggCandidate_phi;Res_HHbbggCandidate_pt;Res_Higgs_toGG_genMatched;Res_Higgs_tobb_genMatched;Res_MET_phiPNetCorr;Res_MET_ptPNetCorr;Res_M_X;Res_SecondJet_PtOverM;Res_chi_t0;Res_chi_t1;Res_dijet_charge;Res_dijet_eta;Res_dijet_mass;Res_dijet_mass_DNNreg;Res_dijet_phi;Res_dijet_pt;Res_has_atleast_one_fatjet;Res_has_two_btagged_jets;Res_lead_bjet_PNetRegPtRawCorr;Res_lead_bjet_PNetRegPtRawCorrNeutrino;Res_lead_bjet_PNetRegPtRawRes;Res_lead_bjet_btagPNetB;Res_lead_bjet_btagPNetCvL;Res_lead_bjet_charge;Res_lead_bjet_eta;Res_lead_bjet_genFlav;Res_lead_bjet_genMatched;Res_lead_bjet_genMotherPdgId;Res_lead_bjet_genPdgId;Res_lead_bjet_hFlav;Res_lead_bjet_jet_idx;Res_lead_bjet_mass;Res_lead_bjet_phi;Res_lead_bjet_pt;Res_lead_bjet_pt_orig;Res_lead_bjet_rawFactor;Res_pholead_PtOverM;Res_phosublead_PtOverM;Res_sublead_bjet_PNetRegPtRawCorr;Res_sublead_bjet_PNetRegPtRawCorrNeutrino;Res_sublead_bjet_PNetRegPtRawRes;Res_sublead_bjet_btagPNetB;Res_sublead_bjet_btagPNetCvL;Res_sublead_bjet_charge;Res_sublead_bjet_eta;Res_sublead_bjet_genFlav;Res_sublead_bjet_genMatched;Res_sublead_bjet_genMotherPdgId;Res_sublead_bjet_genPdgId;Res_sublead_bjet_hFlav;Res_sublead_bjet_jet_idx;Res_sublead_bjet_mass;Res_sublead_bjet_phi;Res_sublead_bjet_pt;Res_sublead_bjet_pt_orig;Res_sublead_bjet_rawFactor,/eos/cms/store/group/phys_b2g/HHbbgg/sraj/HiggsDNA_v7_dask_merged/2022/sim/postEE/merged/NMSSM_X300_Y70/nominal/NOTAG_merged.parquet
300,80,HAS_RES_COLUMNS,139,Res_CosThetaStar_CS;Res_CosThetaStar_gg;Res_CosThetaStar_jj;Res_DNNpair_CosThetaStar_CS;Res_DNNpair_CosThetaStar_gg;Res_DNNpair_CosThetaStar_jj;Res_DNNpair_DeltaPhi_j1MET;Res_DNNpair_DeltaPhi_j2MET;Res_DNNpair_DeltaR_j1g1;Res_DNNpair_DeltaR_j1g2;Res_DNNpair_DeltaR_j2g1;Res_DNNpair_DeltaR_j2g2;Res_DNNpair_DeltaR_jg_min;Res_DNNpair_FirstJet_PtOverM;Res_DNNpair_HHbbggCandidate_eta;Res_DNNpair_HHbbggCandidate_mass;Res_DNNpair_HHbbggCandidate_phi;Res_DNNpair_HHbbggCandidate_pt;Res_DNNpair_Higgs_toGG_genMatched;Res_DNNpair_Higgs_tobb_genMatched;Res_DNNpair_MET_phiPNetCorr;Res_DNNpair_MET_ptPNetCorr;Res_DNNpair_M_X;Res_DNNpair_SecondJet_PtOverM;Res_DNNpair_chi_t0;Res_DNNpair_chi_t1;Res_DNNpair_dijet_DNNpair_Score;Res_DNNpair_dijet_charge;Res_DNNpair_dijet_eta;Res_DNNpair_dijet_mass;Res_DNNpair_dijet_mass_DNNreg;Res_DNNpair_dijet_phi;Res_DNNpair_dijet_pt;Res_DNNpair_has_atleast_one_fatjet;Res_DNNpair_has_two_btagged_jets;Res_DNNpair_lead_bjet_PNetRegPtRawCorr;Res_DNNpair_lead_bjet_PNetRegPtRawCorrNeutrino;Res_DNNpair_lead_bjet_PNetRegPtRawRes;Res_DNNpair_lead_bjet_btagPNetB;Res_DNNpair_lead_bjet_btagPNetCvL;Res_DNNpair_lead_bjet_charge;Res_DNNpair_lead_bjet_eta;Res_DNNpair_lead_bjet_genFlav;Res_DNNpair_lead_bjet_genMatched;Res_DNNpair_lead_bjet_genMotherPdgId;Res_DNNpair_lead_bjet_genPdgId;Res_DNNpair_lead_bjet_hFlav;Res_DNNpair_lead_bjet_jet_idx;Res_DNNpair_lead_bjet_mass;Res_DNNpair_lead_bjet_phi;Res_DNNpair_lead_bjet_pt;Res_DNNpair_lead_bjet_pt_orig;Res_DNNpair_lead_bjet_rawFactor;Res_DNNpair_pholead_PtOverM;Res_DNNpair_phosublead_PtOverM;Res_DNNpair_sublead_bjet_PNetRegPtRawCorr;Res_DNNpair_sublead_bjet_PNetRegPtRawCorrNeutrino;Res_DNNpair_sublead_bjet_PNetRegPtRawRes;Res_DNNpair_sublead_bjet_btagPNetB;Res_DNNpair_sublead_bjet_btagPNetCvL;Res_DNNpair_sublead_bjet_charge;Res_DNNpair_sublead_bjet_eta;Res_DNNpair_sublead_bjet_genFlav;Res_DNNpair_sublead_bjet_genMatched;Res_DNNpair_sublead_bjet_genMotherPdgId;Res_DNNpair_sublead_bjet_genPdgId;Res_DNNpair_sublead_bjet_hFlav;Res_DNNpair_sublead_bjet_jet_idx;Res_DNNpair_sublead_bjet_mass;Res_DNNpair_sublead_bjet_phi;Res_DNNpair_sublead_bjet_pt;Res_DNNpair_sublead_bjet_pt_orig;Res_DNNpair_sublead_bjet_rawFactor;Res_DeltaPhi_j1MET;Res_DeltaPhi_j2MET;Res_DeltaR_j1g1;Res_DeltaR_j1g2;Res_DeltaR_j2g1;Res_DeltaR_j2g2;Res_DeltaR_jg_min;Res_FirstJet_PtOverM;Res_HHbbggCandidate_eta;Res_HHbbggCandidate_mass;Res_HHbbggCandidate_phi;Res_HHbbggCandidate_pt;Res_Higgs_toGG_genMatched;Res_Higgs_tobb_genMatched;Res_MET_phiPNetCorr;Res_MET_ptPNetCorr;Res_M_X;Res_SecondJet_PtOverM;Res_chi_t0;Res_chi_t1;Res_dijet_charge;Res_dijet_eta;Res_dijet_mass;Res_dijet_mass_DNNreg;Res_dijet_phi;Res_dijet_pt;Res_has_atleast_one_fatjet;Res_has_two_btagged_jets;Res_lead_bjet_PNetRegPtRawCorr;Res_lead_bjet_PNetRegPtRawCorrNeutrino;Res_lead_bjet_PNetRegPtRawRes;Res_lead_bjet_btagPNetB;Res_lead_bjet_btagPNetCvL;Res_lead_bjet_charge;Res_lead_bjet_eta;Res_lead_bjet_genFlav;Res_lead_bjet_genMatched;Res_lead_bjet_genMotherPdgId;Res_lead_bjet_genPdgId;Res_lead_bjet_hFlav;Res_lead_bjet_jet_idx;Res_lead_bjet_mass;Res_lead_bjet_phi;Res_lead_bjet_pt;Res_lead_bjet_pt_orig;Res_lead_bjet_rawFactor;Res_pholead_PtOverM;Res_phosublead_PtOverM;Res_sublead_bjet_PNetRegPtRawCorr;Res_sublead_bjet_PNetRegPtRawCorrNeutrino;Res_sublead_bjet_PNetRegPtRawRes;Res_sublead_bjet_btagPNetB;Res_sublead_bjet_btagPNetCvL;Res_sublead_bjet_charge;Res_sublead_bjet_eta;Res_sublead_bjet_genFlav;Res_sublead_bjet_genMatched;Res_sublead_bjet_genMotherPdgId;Res_sublead_bjet_genPdgId;Res_sublead_bjet_hFlav;Res_sublead_bjet_jet_idx;Res_sublead_bjet_mass;Res_sublead_bjet_phi;Res_sublead_bjet_pt;Res_sublead_bjet_pt_orig;Res_sublead_bjet_rawFactor,/eos/cms/store/group/phys_b2g/HHbbgg/sraj/HiggsDNA_v7_dask_merged/2022/sim/postEE/merged/NMSSM_X300_Y80/nominal/NOTAG_merged.parquet
300,90,HAS_RES_COLUMNS,139,Res_CosThetaStar_CS;Res_CosThetaStar_gg;Res_CosThetaStar_jj;Res_DNNpair_CosThetaStar_CS;Res_DNNpair_CosThetaStar_gg;Res_DNNpair_CosThetaStar_jj;Res_DNNpair_DeltaPhi_j1MET;Res_DNNpair_DeltaPhi_j2MET;Res_DNNpair_DeltaR_j1g1;Res_DNNpair_DeltaR_j1g2;Res_DNNpair_DeltaR_j2g1;Res_DNNpair_DeltaR_j2g2;Res_DNNpair_DeltaR_jg_min;Res_DNNpair_FirstJet_PtOverM;Res_DNNpair_HHbbggCandidate_eta;Res_DNNpair_HHbbggCandidate_mass;Res_DNNpair_HHbbggCandidate_phi;Res_DNNpair_HHbbggCandidate_pt;Res_DNNpair_Higgs_toGG_genMatched;Res_DNNpair_Higgs_tobb_genMatched;Res_DNNpair_MET_phiPNetCorr;Res_DNNpair_MET_ptPNetCorr;Res_DNNpair_M_X;Res_DNNpair_SecondJet_PtOverM;Res_DNNpair_chi_t0;Res_DNNpair_chi_t1;Res_DNNpair_dijet_DNNpair_Score;Res_DNNpair_dijet_charge;Res_DNNpair_dijet_eta;Res_DNNpair_dijet_mass;Res_DNNpair_dijet_mass_DNNreg;Res_DNNpair_dijet_phi;Res_DNNpair_dijet_pt;Res_DNNpair_has_atleast_one_fatjet;Res_DNNpair_has_two_btagged_jets;Res_DNNpair_lead_bjet_PNetRegPtRawCorr;Res_DNNpair_lead_bjet_PNetRegPtRawCorrNeutrino;Res_DNNpair_lead_bjet_PNetRegPtRawRes;Res_DNNpair_lead_bjet_btagPNetB;Res_DNNpair_lead_bjet_btagPNetCvL;Res_DNNpair_lead_bjet_charge;Res_DNNpair_lead_bjet_eta;Res_DNNpair_lead_bjet_genFlav;Res_DNNpair_lead_bjet_genMatched;Res_DNNpair_lead_bjet_genMotherPdgId;Res_DNNpair_lead_bjet_genPdgId;Res_DNNpair_lead_bjet_hFlav;Res_DNNpair_lead_bjet_jet_idx;Res_DNNpair_lead_bjet_mass;Res_DNNpair_lead_bjet_phi;Res_DNNpair_lead_bjet_pt;Res_DNNpair_lead_bjet_pt_orig;Res_DNNpair_lead_bjet_rawFactor;Res_DNNpair_pholead_PtOverM;Res_DNNpair_phosublead_PtOverM;Res_DNNpair_sublead_bjet_PNetRegPtRawCorr;Res_DNNpair_sublead_bjet_PNetRegPtRawCorrNeutrino;Res_DNNpair_sublead_bjet_PNetRegPtRawRes;Res_DNNpair_sublead_bjet_btagPNetB;Res_DNNpair_sublead_bjet_btagPNetCvL;Res_DNNpair_sublead_bjet_charge;Res_DNNpair_sublead_bjet_eta;Res_DNNpair_sublead_bjet_genFlav;Res_DNNpair_sublead_bjet_genMatched;Res_DNNpair_sublead_bjet_genMotherPdgId;Res_DNNpair_sublead_bjet_genPdgId;Res_DNNpair_sublead_bjet_hFlav;Res_DNNpair_sublead_bjet_jet_idx;Res_DNNpair_sublead_bjet_mass;Res_DNNpair_sublead_bjet_phi;Res_DNNpair_sublead_bjet_pt;Res_DNNpair_sublead_bjet_pt_orig;Res_DNNpair_sublead_bjet_rawFactor;Res_DeltaPhi_j1MET;Res_DeltaPhi_j2MET;Res_DeltaR_j1g1;Res_DeltaR_j1g2;Res_DeltaR_j2g1;Res_DeltaR_j2g2;Res_DeltaR_jg_min;Res_FirstJet_PtOverM;Res_HHbbggCandidate_eta;Res_HHbbggCandidate_mass;Res_HHbbggCandidate_phi;Res_HHbbggCandidate_pt;Res_Higgs_toGG_genMatched;Res_Higgs_tobb_genMatched;Res_MET_phiPNetCorr;Res_MET_ptPNetCorr;Res_M_X;Res_SecondJet_PtOverM;Res_chi_t0;Res_chi_t1;Res_dijet_charge;Res_dijet_eta;Res_dijet_mass;Res_dijet_mass_DNNreg;Res_dijet_phi;Res_dijet_pt;Res_has_atleast_one_fatjet;Res_has_two_btagged_jets;Res_lead_bjet_PNetRegPtRawCorr;Res_lead_bjet_PNetRegPtRawCorrNeutrino;Res_lead_bjet_PNetRegPtRawRes;Res_lead_bjet_btagPNetB;Res_lead_bjet_btagPNetCvL;Res_lead_bjet_charge;Res_lead_bjet_eta;Res_lead_bjet_genFlav;Res_lead_bjet_genMatched;Res_lead_bjet_genMotherPdgId;Res_lead_bjet_genPdgId;Res_lead_bjet_hFlav;Res_lead_bjet_jet_idx;Res_lead_bjet_mass;Res_lead_bjet_phi;Res_lead_bjet_pt;Res_lead_bjet_pt_orig;Res_lead_bjet_rawFactor;Res_pholead_PtOverM;Res_phosublead_PtOverM;Res_sublead_bjet_PNetRegPtRawCorr;Res_sublead_bjet_PNetRegPtRawCorrNeutrino;Res_sublead_bjet_PNetRegPtRawRes;Res_sublead_bjet_btagPNetB;Res_sublead_bjet_btagPNetCvL;Res_sublead_bjet_charge;Res_sublead_bjet_eta;Res_sublead_bjet_genFlav;Res_sublead_bjet_genMatched;Res_sublead_bjet_genMotherPdgId;Res_sublead_bjet_genPdgId;Res_sublead_bjet_hFlav;Res_sublead_bjet_jet_idx;Res_sublead_bjet_mass;Res_sublead_bjet_phi;Res_sublead_bjet_pt;Res_sublead_bjet_pt_orig;Res_sublead_bjet_rawFactor,/eos/cms/store/group/phys_b2g/HHbbgg/sraj/HiggsDNA_v7_dask_merged/2022/sim/postEE/merged/NMSSM_X300_Y90/nominal/NOTAG_merged.parquet
